,index,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,GradeAvg,result
15,15,1,0,0,1,1,4,4,1,5,2,,1,1,0,1,0,1,1,0,0,1,1,4,4,4,1,2,2,0,14,14,14,14.0,1
16,16,1,0,0,1,1,4,4,4,4,0,,1,3,0,1,0,0,0,0,0,1,1,3,2,3,1,2,2,0,13,14,14,13.666666666666666,1
17,17,1,0,0,1,1,3,3,5,5,0,,3,2,0,0,0,1,0,0,0,0,1,5,3,2,1,1,4,0,8,10,10,9.333333333333334,1
18,18,0,1,0,1,1,3,2,4,4,1,,1,1,3,1,0,1,0,0,0,1,1,5,5,5,2,4,5,1,6,5,5,5.333333333333333,0
19,19,0,0,0,0,1,4,3,1,5,2,,1,1,0,1,1,0,0,0,0,1,1,3,1,3,1,3,5,0,8,10,10,9.333333333333334,1
20,20,0,0,0,1,1,4,3,3,5,0,,1,2,0,1,1,1,1,0,0,1,1,4,4,1,1,1,1,0,13,14,15,14.0,1
21,21,0,0,0,1,1,4,4,1,1,3,,1,1,0,1,0,0,1,0,0,1,1,5,4,2,1,1,5,0,12,15,15,14.0,1
22,22,0,0,0,0,1,4,2,3,5,1,,1,2,0,1,1,1,0,0,0,1,1,4,5,1,1,3,5,0,15,15,16,15.333333333333334,1
23,23,0,0,0,0,1,2,2,5,5,0,,2,2,0,1,0,1,0,0,0,1,1,5,4,4,2,4,5,0,13,13,12,12.666666666666666,1
24,24,1,0,1,1,1,2,4,4,1,1,,1,3,0,0,0,0,0,0,0,1,1,4,3,2,1,1,5,0,10,9,8,9.0,1
25,25,1,0,0,1,1,2,2,4,4,2,,1,1,2,1,0,0,1,1,0,1,1,1,2,2,1,3,5,1,6,9,8,7.666666666666667,0
26,26,0,0,0,1,1,2,2,5,5,2,,1,1,0,1,0,0,1,0,0,1,1,4,2,2,1,2,5,0,12,12,11,11.666666666666666,1
27,27,0,0,0,1,1,4,2,1,4,3,,1,1,0,1,1,0,1,0,0,1,1,2,2,4,2,4,1,0,15,16,15,15.333333333333334,1
28,28,0,0,0,0,0,3,4,4,5,2,,1,2,0,0,0,1,0,0,0,1,1,5,3,3,1,1,5,0,11,11,11,11.0,1
29,29,0,0,0,1,1,4,4,3,3,2,,1,2,0,1,0,0,0,0,0,1,0,4,4,5,5,5,5,1,10,12,11,11.0,1
30,30,0,0,0,1,1,4,4,1,4,2,,1,2,0,1,0,0,1,1,0,1,1,5,4,2,3,4,5,0,9,11,12,10.666666666666666,1
31,31,0,0,0,1,1,4,4,4,4,0,,2,2,0,1,0,1,0,0,0,1,1,4,3,1,1,1,5,0,17,16,17,16.666666666666668,1
32,32,0,0,1,1,1,4,3,3,0,1,,1,2,0,1,0,1,0,0,0,1,0,4,5,2,1,1,5,0,17,16,16,16.333333333333332,1
33,33,0,0,0,0,1,3,3,5,5,1,,1,2,0,1,1,1,0,1,0,1,1,5,3,2,1,1,2,0,8,10,12,10.0,1
34,34,0,0,0,1,1,3,2,5,5,2,,1,1,0,1,0,0,1,1,0,1,1,5,4,3,1,1,5,0,12,14,15,13.666666666666666,1
35,35,1,0,0,1,1,2,3,5,5,3,,2,1,0,1,0,1,0,0,0,0,1,3,5,1,1,1,5,0,8,7,6,7.0,0
36,36,0,0,0,0,1,4,3,3,4,2,,1,3,0,1,0,1,0,0,0,1,1,5,4,3,1,1,4,0,15,16,18,16.333333333333332,1
37,37,0,0,1,1,0,4,4,5,3,0,,2,3,0,1,0,1,0,0,0,1,0,2,4,3,1,1,5,0,15,16,15,15.333333333333334,1
38,38,1,0,1,1,1,3,4,4,1,1,,1,3,0,0,0,0,0,0,0,1,1,4,3,2,1,1,5,0,12,12,11,11.666666666666666,1
39,39,1,0,1,1,1,2,2,0,5,0,,1,1,0,0,0,0,0,0,0,0,1,4,3,1,1,1,2,0,14,13,13,13.333333333333334,1
40,40,1,0,0,0,1,2,2,5,5,2,,2,2,1,1,0,1,0,1,0,1,0,3,3,3,1,2,3,2,7,10,11,9.333333333333334,1
41,41,0,0,0,0,1,4,4,3,5,2,,1,1,0,1,0,1,1,1,0,1,0,5,4,3,2,4,5,0,12,12,12,12.0,1
42,42,0,0,0,1,1,4,4,4,3,1,,1,2,0,1,0,1,0,0,0,1,1,4,3,3,1,1,5,0,19,18,18,18.333333333333332,1
43,43,0,0,0,1,1,2,2,4,4,1,,1,1,0,0,0,1,1,0,0,1,1,5,4,1,1,1,1,0,8,8,11,9.0,1
44,44,1,0,0,0,1,2,2,5,0,1,,2,2,1,0,1,1,0,0,0,1,1,4,3,3,2,2,5,1,10,10,9,9.666666666666666,1
45,45,1,0,0,0,0,4,3,5,5,1,,1,2,0,0,0,0,0,0,0,1,0,5,2,2,1,1,5,0,8,8,6,7.333333333333333,0
46,46,1,0,0,0,0,3,3,5,4,2,,1,2,0,1,0,1,1,0,0,1,1,2,3,5,1,4,3,1,11,12,11,11.333333333333334,1
47,47,0,0,0,1,1,4,3,1,4,0,,1,4,0,1,1,1,0,0,0,1,1,4,2,2,1,1,2,0,19,19,20,19.333333333333332,1
48,48,0,0,0,1,1,4,2,3,5,2,,1,2,0,1,0,0,1,0,0,0,1,4,3,3,2,2,5,0,15,15,14,14.666666666666666,1
49,49,1,0,0,1,1,4,4,4,3,3,,1,2,1,0,0,1,0,1,0,1,1,4,4,4,1,1,3,0,7,7,7,7.0,0
50,50,1,0,0,0,1,2,2,4,4,1,,3,2,0,1,0,0,1,0,0,1,1,4,3,3,2,3,4,0,12,13,13,12.666666666666666,1
51,51,1,0,0,0,1,4,2,1,5,3,,1,2,0,1,0,0,1,0,0,1,1,4,3,3,1,1,5,0,11,13,13,12.333333333333334,1
52,52,0,0,0,0,0,4,2,1,1,3,,2,1,1,1,1,1,1,0,0,0,1,5,5,5,3,4,5,0,11,11,10,10.666666666666666,1
53,53,1,0,0,1,1,4,4,4,4,1,,1,1,0,0,0,0,1,0,0,1,1,3,3,4,2,3,5,0,8,10,11,9.666666666666666,1
54,54,1,0,0,0,0,3,3,5,5,3,,1,1,0,1,1,0,1,0,0,1,1,5,3,4,4,4,1,0,10,13,13,12.0,1
55,55,1,0,0,1,0,2,1,5,5,3,,1,2,0,1,1,0,0,0,0,1,0,5,3,4,1,1,2,0,8,9,10,9.0,1
56,56,1,0,0,1,0,4,3,4,4,0,,1,2,0,1,0,0,0,0,0,1,1,4,3,2,1,1,1,0,14,15,15,14.666666666666666,1
57,57,0,0,0,1,1,4,4,3,1,0,,1,2,0,1,0,1,0,0,0,0,1,3,2,2,1,1,5,0,14,15,15,14.666666666666666,1
58,58,0,0,0,0,1,1,2,5,0,2,,1,2,0,0,0,1,0,0,0,1,1,4,3,2,1,1,5,0,9,10,9,9.333333333333334,1
59,59,1,0,0,1,1,4,2,4,5,1,,1,2,0,1,0,1,1,0,0,1,1,4,2,3,1,1,5,0,15,16,16,15.666666666666666,1
60,60,1,0,1,1,1,4,4,1,3,3,,1,2,0,1,0,1,0,0,0,0,1,2,4,4,2,3,4,0,10,11,11,10.666666666666666,1
61,61,1,0,0,1,1,1,1,4,4,1,,4,1,0,0,0,1,0,1,0,1,0,5,5,5,5,5,5,0,10,8,11,9.666666666666666,1
62,62,1,0,0,0,1,1,2,5,4,0,,1,2,0,0,1,1,0,0,0,1,1,4,4,3,1,1,1,0,8,10,9,9.0,1
63,63,1,0,0,1,1,4,3,3,1,2,,1,3,0,0,0,0,0,0,0,1,1,3,4,4,2,4,4,0,10,9,9,9.333333333333334,1
64,64,1,0,0,0,1,4,3,4,4,0,,1,2,0,0,1,1,0,0,0,1,0,4,4,4,2,4,2,0,10,10,10,10.0,1
65,65,1,0,0,0,1,4,3,3,4,1,,3,2,0,1,0,1,0,0,0,1,1,5,4,3,1,2,1,0,16,15,15,15.333333333333334,1
66,66,0,0,0,1,0,4,4,5,4,0,,1,4,0,1,0,1,0,1,0,1,0,1,3,3,5,5,3,0,13,13,12,12.666666666666666,1
67,67,1,0,0,1,1,3,1,4,5,1,,1,4,0,0,0,0,1,0,0,1,1,4,3,3,1,2,5,0,7,7,6,6.666666666666667,0
68,68,1,0,1,0,1,2,2,1,4,0,,2,2,0,0,0,0,1,0,0,1,1,4,1,3,1,3,4,0,8,9,8,8.333333333333334,1
69,69,1,0,1,0,1,3,1,5,5,0,,2,4,0,1,0,1,1,1,0,1,1,4,4,2,2,3,3,1,16,16,16,16.0,1
70,70,0,0,0,1,1,3,1,5,5,0,,2,4,0,1,0,0,1,0,0,1,1,4,3,2,1,1,5,0,13,15,15,14.333333333333334,1
71,71,0,0,0,1,1,4,2,5,5,1,,1,4,0,1,1,1,1,0,0,1,1,3,3,3,1,1,3,0,10,10,10,10.0,1
72,72,1,0,1,1,1,1,1,5,5,0,,1,2,2,0,0,1,1,1,0,1,0,3,3,4,2,4,5,0,8,6,5,6.333333333333333,0
73,73,0,0,0,1,1,3,1,5,5,0,,1,1,0,1,1,1,0,0,0,0,1,5,3,2,2,2,5,0,12,12,14,12.666666666666666,1
74,74,1,0,0,1,1,3,3,5,4,2,,1,2,0,0,0,0,0,0,0,1,1,4,3,3,2,4,5,2,11,12,11,11.333333333333334,1
75,75,0,0,0,1,1,4,3,3,5,2,,1,2,0,1,0,0,0,0,0,1,1,4,3,3,2,3,5,0,9,9,10,9.333333333333334,1
76,76,0,0,0,1,1,4,0,3,5,1,,2,4,0,1,1,1,0,0,0,1,1,3,4,3,1,1,1,0,11,11,10,10.666666666666666,1
77,77,1,0,0,1,1,2,2,5,5,0,,1,4,0,1,1,0,1,0,0,1,0,5,2,3,1,3,3,0,11,11,11,11.0,1
78,78,0,1,0,1,1,2,1,5,5,2,,2,1,3,0,0,1,0,0,1,1,1,4,5,1,1,1,3,0,8,8,10,8.666666666666666,1
79,79,1,0,0,1,1,3,4,0,5,1,,1,2,0,1,0,1,1,0,0,1,1,2,4,3,1,2,3,1,5,5,5,5.0,0
80,80,0,0,0,1,1,2,3,5,4,1,,1,1,0,0,0,0,0,1,0,1,0,3,2,2,1,3,3,0,10,12,12,11.333333333333334,1
81,81,0,0,0,1,1,2,3,5,5,2,,1,3,0,0,1,0,1,1,0,1,1,5,3,2,1,2,5,0,11,10,11,10.666666666666666,1
82,82,1,0,0,0,1,3,2,4,5,0,,1,2,0,1,0,0,1,0,0,1,1,4,4,4,1,1,5,0,7,6,6,6.333333333333333,0
83,83,0,0,0,0,1,2,2,4,4,2,,2,2,0,1,1,0,0,0,0,1,1,5,3,3,1,3,4,0,15,15,15,15.0,1
84,84,1,0,0,1,1,1,1,5,5,2,,1,2,0,1,0,1,0,1,0,1,1,4,3,2,2,3,4,0,9,10,10,9.666666666666666,1
85,85,1,0,0,1,1,4,4,4,4,0,,2,2,2,1,1,0,1,0,0,1,0,4,4,4,2,3,5,0,7,9,8,8.0,1
86,86,1,0,0,0,1,2,2,0,5,1,,1,2,0,1,0,1,1,0,0,0,1,4,3,4,1,2,2,0,8,7,6,7.0,0
87,87,1,0,0,1,1,4,2,5,5,0,,1,3,0,1,0,1,0,0,0,1,1,5,3,3,1,3,1,0,13,14,14,13.666666666666666,1
88,88,0,0,0,1,1,2,2,4,5,0,,2,2,1,1,1,0,0,1,0,1,1,4,4,2,1,1,3,1,11,10,10,10.333333333333334,1
89,89,0,0,0,0,0,4,4,3,1,0,,1,2,0,1,0,1,1,0,0,0,1,4,1,3,3,5,5,1,8,6,7,7.0,0
90,90,1,0,0,1,1,3,3,5,5,2,,1,3,0,1,0,0,1,0,0,1,0,4,3,3,1,3,4,0,7,7,8,7.333333333333333,0
91,91,1,0,0,1,1,4,3,4,5,0,,1,1,0,1,1,0,0,0,0,1,1,4,5,5,1,3,1,0,16,17,18,17.0,1
92,92,1,0,0,0,1,3,1,5,5,2,,1,2,0,0,0,1,1,0,0,0,1,3,3,3,2,3,2,0,7,6,6,6.333333333333333,0
93,93,1,0,0,1,1,4,2,3,4,2,,2,2,0,1,0,0,0,0,0,1,1,5,3,3,1,1,1,0,11,10,10,10.333333333333334,1
94,94,0,0,0,0,1,2,2,4,1,0,,1,4,0,1,0,1,0,0,0,1,1,4,3,4,1,1,4,0,11,13,14,12.666666666666666,1
95,95,1,0,1,1,1,1,1,0,5,2,,2,4,1,0,0,0,0,0,0,1,1,3,1,2,1,1,1,0,7,10,10,9.0,1
96,96,0,0,1,1,1,4,3,4,5,0,,2,1,0,0,0,1,0,1,0,1,1,3,3,3,1,1,4,0,11,15,15,13.666666666666666,1
97,97,1,0,0,1,1,2,1,5,5,1,,1,2,0,1,0,0,1,0,0,0,0,4,3,5,1,1,5,0,8,9,10,9.0,1
98,98,1,0,0,1,1,4,4,5,5,0,,1,1,0,1,1,1,0,1,0,1,1,5,3,4,1,2,1,0,11,14,14,13.0,1
99,99,1,0,0,1,1,4,3,5,0,1,,1,3,0,0,0,0,1,0,0,1,1,5,3,5,1,1,3,0,7,9,8,8.0,1
100,100,0,0,0,1,1,4,4,4,4,3,,1,1,0,0,0,0,0,0,0,1,1,4,5,5,5,5,4,1,7,7,5,6.333333333333333,0
101,101,0,0,0,1,1,4,4,4,3,3,,1,3,0,1,0,1,0,0,0,1,0,4,4,3,1,1,4,0,16,17,17,16.666666666666668,1
102,102,0,0,0,1,1,4,4,4,5,1,,1,1,0,1,0,1,0,1,0,1,1,5,3,3,1,1,5,0,10,13,14,12.333333333333334,1
103,103,1,0,0,1,1,3,2,4,5,2,,2,2,0,0,0,0,1,0,0,1,1,4,3,5,1,1,2,2,7,6,6,6.333333333333333,0
104,104,0,0,0,1,0,3,4,4,5,1,,1,2,0,1,0,0,0,0,0,1,1,5,4,4,1,1,1,0,16,18,18,17.333333333333332,1
105,105,1,0,0,1,0,3,3,5,1,0,,1,4,0,0,1,1,1,0,0,0,1,4,3,3,1,1,4,0,10,11,11,10.666666666666666,1
106,106,1,0,0,1,1,2,2,5,5,1,,1,4,0,0,0,0,1,0,0,1,1,5,1,2,1,1,3,0,7,8,8,7.666666666666667,0
107,107,0,0,0,1,1,3,3,4,5,2,,1,3,0,1,0,1,0,0,0,1,1,5,3,3,1,1,5,0,16,18,18,17.333333333333332,1
108,108,0,0,1,1,1,4,4,5,5,2,,4,4,0,1,0,0,0,0,0,1,0,1,3,5,3,5,1,0,10,13,13,12.0,1
109,109,1,0,0,0,1,4,4,1,1,3,,1,3,0,1,0,0,0,0,0,1,0,5,4,5,1,1,4,0,14,15,16,15.0,1
110,110,0,0,0,0,0,4,4,3,3,1,,1,1,0,1,1,1,0,0,0,1,1,5,5,3,1,1,4,0,18,19,19,18.666666666666668,1
111,111,1,0,1,1,1,3,3,4,5,0,,1,3,1,0,0,1,0,0,0,1,1,4,1,2,1,1,2,0,7,10,10,9.0,1
112,112,1,0,0,1,1,2,2,0,5,2,,1,2,1,0,1,1,0,0,0,1,1,3,1,2,1,1,5,0,10,13,13,12.0,1
113,113,0,0,0,0,1,4,2,3,5,1,,1,1,0,1,1,1,1,0,0,1,1,3,5,2,1,1,3,0,18,19,19,18.666666666666668,1
114,114,0,0,1,1,1,2,1,1,4,0,,1,2,0,1,1,1,0,0,0,1,0,5,4,2,1,1,5,0,9,9,9,9.0,1
115,115,0,0,0,1,1,4,4,3,3,1,,1,2,0,1,0,1,0,0,0,1,1,5,4,4,1,2,5,0,15,15,16,15.333333333333334,1
116,116,0,0,0,1,1,4,4,5,3,0,,2,2,0,1,0,1,0,0,0,0,1,4,4,3,1,1,2,0,11,13,14,12.666666666666666,1
117,117,0,0,0,1,1,3,3,5,4,2,,2,1,0,1,1,1,0,0,0,1,1,5,4,2,1,1,5,0,13,14,13,13.333333333333334,1
118,118,0,1,1,1,1,1,3,5,5,1,,3,2,1,1,0,1,0,0,0,1,1,5,2,4,1,4,5,1,9,7,8,8.0,1
119,119,0,0,0,1,1,3,4,5,5,0,,1,1,0,1,1,1,1,0,0,1,1,3,4,3,1,2,4,0,14,13,13,13.333333333333334,1
120,120,1,0,0,1,1,1,2,0,4,1,,1,2,0,1,1,1,1,1,0,1,1,3,2,3,1,2,1,0,16,15,15,15.333333333333334,1
121,121,0,0,0,1,1,2,2,4,4,2,,1,4,0,1,0,0,0,0,0,1,1,5,5,4,1,2,5,0,16,14,15,15.0,1
122,122,1,0,0,0,1,2,4,5,1,1,,2,2,0,1,0,0,0,0,0,1,0,4,2,2,1,2,5,0,13,13,13,13.0,1
123,123,0,0,0,1,1,4,4,1,5,1,,1,1,0,1,0,1,0,0,0,1,1,3,4,4,1,4,5,1,14,11,13,12.666666666666666,1
124,124,1,0,0,1,1,2,2,5,5,2,,1,2,0,1,1,0,1,0,0,1,0,5,4,4,1,1,5,0,8,7,8,7.666666666666667,0
125,125,0,0,0,1,1,3,4,4,4,2,,1,1,0,0,1,1,1,0,0,1,1,5,5,5,3,2,5,0,13,13,12,12.666666666666666,1
126,126,1,0,0,0,0,3,4,5,5,2,,1,2,0,0,1,1,0,0,0,1,0,5,3,2,1,1,1,0,7,10,11,9.333333333333334,1
127,127,1,2,0,1,1,0,1,0,5,1,,1,2,3,1,0,1,1,1,1,0,1,3,4,2,1,1,5,0,7,8,9,8.0,1
128,128,0,1,1,1,1,2,2,4,5,0,,1,1,2,1,0,1,0,0,0,1,1,3,3,3,1,2,4,0,7,4,0,3.6666666666666665,0
129,129,0,0,1,1,1,4,4,3,3,1,,1,1,0,1,1,0,0,0,0,1,1,3,5,5,2,5,4,0,18,18,18,18.0,1
130,130,1,0,1,1,1,3,4,4,3,1,,2,3,2,1,0,1,1,0,0,1,0,4,2,2,2,2,5,0,12,0,0,4.0,0
131,131,1,0,0,1,1,1,1,0,5,1,,3,1,0,1,0,1,0,1,0,1,0,4,3,3,1,2,4,0,8,0,0,2.6666666666666665,0
132,132,1,1,0,0,1,2,2,5,5,1,,1,1,0,1,0,1,1,0,0,1,0,3,4,4,1,3,5,1,10,13,12,11.666666666666666,1
133,133,1,0,0,1,0,3,4,4,5,1,,1,1,0,1,1,1,1,0,0,1,1,3,2,1,1,4,5,1,12,11,11,11.333333333333334,1
134,134,0,0,1,1,1,3,4,0,3,1,,4,2,0,1,0,1,1,0,0,0,0,5,3,3,1,1,5,0,9,0,0,3.0,0
135,135,1,0,0,1,1,4,4,4,0,1,,1,3,0,1,0,1,0,0,0,1,0,4,3,3,1,1,5,0,11,0,0,3.6666666666666665,0
136,136,0,1,1,1,1,3,4,0,5,1,,3,2,0,1,1,1,1,0,0,0,1,5,4,5,2,4,5,0,10,0,0,3.3333333333333335,0
137,137,1,0,0,1,0,3,3,5,5,1,,2,1,2,1,0,1,0,1,0,1,0,4,3,2,1,1,5,0,4,0,0,1.3333333333333333,0
138,138,0,0,0,0,1,1,1,4,5,1,,1,2,1,1,1,1,1,0,0,0,0,4,4,4,1,3,5,0,14,12,12,12.666666666666666,1
139,139,1,0,0,1,1,4,4,3,3,1,,2,1,0,1,1,1,0,0,0,1,1,4,3,2,1,1,5,0,16,16,15,15.666666666666666,1
140,140,0,0,0,1,1,4,3,3,4,1,,2,4,0,0,0,1,1,0,0,1,1,2,2,2,1,1,3,0,7,9,0,5.333333333333333,0
141,141,0,0,0,0,1,2,2,4,4,0,,2,1,2,1,0,1,0,0,0,1,1,2,3,3,2,2,2,0,9,9,9,9.0,1
142,142,1,0,0,1,1,4,4,3,4,1,,1,3,0,1,0,0,0,0,0,1,1,4,2,2,1,1,5,0,9,11,11,10.333333333333334,1
143,143,1,0,0,0,1,1,1,0,0,1,,1,1,0,1,1,1,1,0,0,1,1,3,4,4,3,3,1,0,14,14,13,13.666666666666666,1
144,144,0,1,0,1,1,2,1,5,5,2,,1,1,3,1,0,1,1,0,0,1,1,5,4,5,1,2,5,0,5,0,0,1.6666666666666667,0
145,145,1,0,0,1,1,1,1,5,4,1,,1,2,0,1,0,0,1,0,0,1,1,4,4,2,1,2,5,0,8,11,11,10.0,1
146,146,1,0,0,1,1,3,2,1,4,2,,1,2,3,1,0,1,1,0,0,1,1,3,3,2,1,1,3,0,6,7,0,4.333333333333333,0
147,147,1,0,0,1,1,1,2,0,5,1,,1,2,0,1,0,0,1,1,0,1,1,4,3,2,1,1,5,0,10,11,11,10.666666666666666,1
148,148,0,0,0,1,1,4,4,3,3,1,,1,1,0,1,0,1,1,0,1,1,0,3,3,2,2,1,5,0,7,6,0,4.333333333333333,0
149,149,0,0,0,0,0,2,1,4,5,1,,4,1,3,1,1,1,1,0,0,1,1,4,5,5,2,5,5,0,8,9,10,9.0,1
150,150,0,1,0,0,1,1,1,5,5,1,,1,1,3,1,1,1,1,0,1,1,0,2,3,5,2,5,4,0,6,5,0,3.6666666666666665,0
151,151,0,0,0,0,1,2,1,0,5,1,,1,1,1,1,1,1,0,0,0,0,0,4,4,4,3,5,5,0,12,13,14,13.0,1
152,152,1,0,1,1,1,3,3,4,4,0,,2,3,2,1,0,0,0,0,0,1,0,4,2,1,2,3,3,0,10,10,10,10.0,1
153,153,0,2,0,1,1,3,2,4,0,2,,1,1,3,1,0,1,1,0,1,1,0,4,5,4,1,1,4,0,5,0,0,1.6666666666666667,0
154,154,1,1,0,1,1,4,4,5,3,1,,1,1,0,0,0,1,1,0,0,0,0,4,2,1,1,1,4,0,11,11,12,11.333333333333334,1
155,155,0,0,1,1,1,2,3,0,4,1,,1,2,0,0,1,0,0,0,0,0,1,4,4,4,1,1,1,0,11,8,8,9.0,1
156,156,0,1,1,0,1,1,2,5,5,0,,1,1,0,1,1,1,1,0,0,0,1,2,2,2,3,3,5,0,16,12,13,13.666666666666666,1
157,157,1,1,1,1,1,1,1,0,5,1,,3,1,3,1,0,1,0,1,0,0,1,5,2,5,1,5,4,0,9,8,10,9.0,1
158,158,0,0,1,1,1,2,2,0,5,1,,3,1,0,1,1,1,1,1,0,0,1,4,2,2,1,2,3,0,17,15,15,15.666666666666666,1
159,159,0,0,0,1,1,3,3,5,4,1,,1,2,1,1,0,0,1,0,0,1,0,4,5,5,4,4,5,0,10,12,12,11.333333333333334,1
160,160,0,1,1,0,1,2,1,0,5,1,,2,1,2,1,1,1,0,0,1,1,0,3,3,2,2,2,5,0,7,6,0,4.333333333333333,0
161,161,0,0,1,1,1,3,2,5,5,1,,2,2,2,0,0,1,1,0,0,1,0,4,4,4,1,4,3,0,5,9,7,7.0,0
162,162,0,0,0,0,1,1,2,5,5,1,,2,1,1,1,1,1,0,0,0,0,1,4,4,4,2,4,5,0,7,0,0,2.3333333333333335,0
163,163,0,1,0,1,1,1,3,0,4,1,,1,1,0,1,1,1,1,0,1,1,1,5,3,3,1,4,2,0,10,10,10,10.0,1
164,164,0,1,1,0,1,1,1,5,4,1,,4,2,3,1,1,1,0,0,1,0,0,5,3,5,1,5,5,0,5,8,7,6.666666666666667,0
165,165,0,0,0,1,1,3,2,4,4,1,,2,1,1,1,0,1,0,1,1,0,1,4,5,2,1,1,2,1,12,11,12,11.666666666666666,1
166,166,0,0,0,1,1,2,2,5,5,1,,1,2,0,1,1,1,1,0,1,1,1,4,3,5,2,4,4,0,10,10,10,10.0,1
167,167,1,0,0,1,1,4,2,1,4,2,,1,2,0,1,1,0,1,0,0,1,0,4,2,3,1,1,3,0,14,15,16,15.0,1
168,168,1,0,0,1,1,2,2,5,5,2,,1,2,0,1,0,0,1,1,0,1,1,5,1,5,1,1,4,0,6,7,0,4.333333333333333,0
169,169,1,0,0,1,1,4,4,1,1,0,,1,2,0,1,0,0,1,0,0,1,0,4,4,2,1,1,3,0,14,14,14,14.0,1
170,170,0,0,0,1,1,3,4,5,5,1,,3,1,2,1,0,1,0,1,0,1,1,3,4,5,2,4,2,0,6,5,0,3.6666666666666665,0
171,171,0,0,0,1,1,1,0,5,5,0,,2,2,0,1,0,0,0,0,0,1,0,4,3,2,1,1,3,0,13,15,16,14.666666666666666,1
172,172,0,1,0,0,1,4,4,3,5,0,,1,2,0,1,0,0,0,0,0,1,1,4,4,4,1,3,5,0,13,11,10,11.333333333333334,1
173,173,1,0,0,1,1,1,3,0,4,2,,1,2,3,1,1,1,0,1,0,1,0,4,3,5,1,1,3,0,8,7,0,5.0,0
174,174,1,0,0,0,1,3,3,5,5,0,,2,2,0,1,0,0,0,0,0,1,1,4,4,5,1,1,4,0,10,11,9,10.0,1
175,175,0,1,0,0,1,4,3,3,5,1,,2,2,0,1,1,0,0,0,0,1,1,4,4,4,4,4,4,0,10,9,9,9.333333333333334,1
176,176,1,0,0,1,1,2,2,4,5,0,,2,2,0,1,1,0,0,1,0,1,1,3,4,4,1,4,5,0,13,13,11,12.333333333333334,1
177,177,0,1,0,1,1,3,3,5,5,0,,1,2,0,1,1,1,0,1,0,1,1,4,3,4,1,4,4,0,6,5,6,5.666666666666667,0
178,178,0,0,1,1,1,4,2,3,4,3,,1,1,0,1,0,1,0,0,0,1,0,4,3,3,3,4,3,0,10,8,9,9.0,1
179,179,0,1,0,1,1,4,3,5,5,1,,1,2,0,1,0,1,0,0,0,1,0,5,2,3,1,1,2,0,10,10,11,10.333333333333334,1
180,180,0,0,0,1,1,4,3,3,5,2,,1,2,0,1,0,0,0,0,0,1,1,3,4,3,2,3,3,0,9,8,8,8.333333333333334,1
